Hotel,Stars, Price for this weekend (April 30 - May 03) , (May 07 - May 10) for 2 adults ,Percentage of price change next weekend,Average price for further weekend,Percentage of price change Avg. further weekend, (May 14 - May 17) for 2 adults , (May 21 - May 24) for 2 adults , (May 28 - May 31) for 2 adults , (Jun 04 - Jun 07) for 2 adults , (Jun 11 - Jun 14) for 2 adults , (Jun 18 - Jun 21) for 2 adults 
Baymont Inn & Suites Las Vegas South Strip,3, $ 567.00 , $ 285.00 ,50%, $ 316.00 ,44%, $ 307.00 , $ 412.00 , $ 254.00 , $ 241.00 , $ 320.00 , $ 393.00 
Howard Johnson Tropicana,2, $ 553.00 , $ 242.00 ,56%, $ 259.71 ,53%, $ 261.00 , $ 319.00 , $ 196.00 , $ 189.00 , $ 197.00 , $ 414.00 
"Downtown Grand, an Ascend Hotel Collection Member",4, $ 546.00 , $ 259.00 ,53%, $ 316.71 ,42%, $ 530.00 , $ 478.00 , $ 281.00 , $ 193.00 , $ 193.00 , $ 283.00 
"Stratosphere Hotel, Casino and Tower",3, $ 544.00 , $ 208.00 ,62%, $ 281.71 ,48%, $ 322.00 , $ 356.00 , $ 269.00 , $ 166.00 , $ 181.00 , $ 470.00 
The Orleans Hotel & Casino,3, $ 541.00 , $ 338.00 ,38%, $ 291.60 ,46%, $ 309.00 ,,, $ 227.00 , $ 227.00 , $ 357.00 
Crossland Economy Studios - Las Vegas - Boulder Highway,2, $ 538.00 , $ 308.00 ,43%, $ 262.00 ,51%, $ 308.00 , $ 326.00 , $ 210.00 , $ 210.00 , $ 210.00 ,
The D Las Vegas,3, $ 535.00 , $ 153.00 ,71%, $ 211.71 ,60%, $ 233.00 , $ 275.00 , $ 181.00 , $ 133.00 , $ 139.00 , $ 368.00 
Bonanza Lodge,1, $ 535.00 , $ 239.00 ,55%, $ 285.00 ,47%, $ 294.00 , $ 239.00 , $ 198.00 , $ 195.00 , $ 195.00 , $ 635.00 
Fremont Hotel and Casino,3, $ 529.00 ,,100%, $ 303.75 ,43%,,, $ 191.00 , $ 207.00 , $ 176.00 , $ 641.00 
Plaza Hotel & Casino,3, $ 527.00 , $ 193.00 ,63%, $ 234.29 ,56%, $ 227.00 , $ 397.00 , $ 181.00 , $ 181.00 , $ 181.00 , $ 280.00 
Excalibur Hotel & Casino,3, $ 524.00 , $ 408.00 ,22%, $ 391.43 ,25%, $ 499.00 , $ 491.00 , $ 401.00 , $ 215.00 , $ 239.00 , $ 487.00 
