"Bilateral Remittance Estimates for 2014 using Migrant Stocks, Host Country Incomes, and Origin Country Incomes (millions of US$) (April 2015 Version)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remittance-receiving country (across) - Remittance-sending country (down),Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,World
Burundi,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,49
Cabo Verde,,,,,,0,,0,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,3,,,0,,0,0,,,,,,0,2,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,0,,,,,,,0,,,,0,,,,,10,,,,,,,,,0,,,2,,,,0,,,,1,,3,,,0,,0,,,,,,,1,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,0,1,,,,,,,,,,,26
Cambodia,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,0,,,,,,,,,,,,0,,,0,0,,,,,,0,,0,,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,0,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,153,,,,,,,,,,,,,0,0,,,,,111,,,,,,279
Cameroon,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,0,,0,,1,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,186,,,,,,1,0,,,,,0,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,0,,,,,,,,,,,11,,,,,,,,,,,,,,,,1,,,,8,"2,357",,,,,,,,,,,,,,,,,0,,,,,13,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,0,7,,,,,,,,,,,"2,591"
Canada,7,12,44,,,0,1,13,8,0,116,133,4,,,91,15,7,509,3,1,251,0,7,41,0,28,,24,0,2,0,8,4,,,,,,0,"4,200",86,0,1,,20,2,79,,0,3,124,103,2,1,26,35,264,133,,,16,21,,29,51,"1,278",22,,2,6,760,5,70,,6,,98,1,0,74,119,30,118,420,5,"2,767",32,91,5,27,,65,898,286,126,42,0,98,,,337,,0,5,1,19,956,0,5,,,31,22,3,6,8,0,23,0,2,57,,,18,127,0,17,,3,0,109,1,1,0,12,205,13,8,21,1,410,,23,2,437,,17,0,6,50,"2,075",378,373,,40,98,52,6,0,,0,15,12,64,2,2,,0,64,46,0,,61,,111,482,5,3,,6,2,0,0,93,100,10,6,10,67,0,3,0,26,32,10,,,,60,103,,242,688,3,,,2,843,,5,4,1,,"23,145"
Cayman Islands,,,,,,,,0,,,1,0,,,,,0,,0,1,,5,,,,,0,,,,,,,,2,,,,,,,1,,,,1,,,,0,,,0,,,0,,,,,,,,,,0,1,,,,,1,,,,0,,,,,0,0,12,,,,4,,0,,0,,0,0,28,0,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,0,,0,1,0,0,,,,0,,1,,,0,12,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0,,0,,,,,0,,,0,0,,,,0,,,,,,,,,1,8,,,,0,,,,,0,,84
Central African Republic,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,0,,,5,0,,,,,,1,,,0,,,0,,,,,,,,,,,0,,,,,,,,,63,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,7,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,35,,,,,,,,,,,,1,,,,,,,,,0,5,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,0,,,,,,,,,,,0,1,,,,,,,,0,,,121
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,54
Chile,0,0,0,,,0,0,34,0,0,6,4,0,,,0,0,0,22,0,0,1,0,41,0,0,14,,0,0,0,0,0,0,2,,,,,,39,31,0,0,,2,0,1,,0,0,1,1,,0,1,43,1,1,,,0,0,0,0,1,49,1,,0,0,27,0,0,,0,,1,0,0,0,0,1,0,3,0,3,0,0,0,0,,2,12,0,4,0,0,0,,,3,,0,0,0,0,3,0,0,,,0,1,0,0,0,0,0,0,0,0,,,0,4,0,0,,0,,0,0,0,0,0,1,1,0,0,0,0,,2,0,0,,3,0,1,268,1,1,1,,1,0,0,0,,,0,0,0,,,0,,,0,0,,,15,,106,0,0,0,,0,0,0,0,17,5,0,0,0,0,,0,1,0,0,0,,,,0,0,,4,24,1,,0,1,0,,1,,0,,817
China,0,,1,,,0,,1,,,62,6,1,,,10,,1,34,,0,,0,0,,,141,,0,,0,,0,0,17,,,,,0,,1,,0,,1,0,0,,,,2,9,,,,1,6,,,,,0,,0,5,188,,,,,55,0,0,,,,,0,0,,,,3,3,1,57,100,1,0,1,,2,15,0,239,3,0,2,,,537,,,3,0,0,4,,0,,,0,,9,,0,,9,,1,,,,1,2,,0,,14,,0,0,3,0,4,5,,2,,0,22,,3,,16,,4,0,,34,445,1,1,,,0,6,0,,,,1,0,0,,0,,,1,,,,2,,30,20,,,,,0,0,,29,6,0,3,0,113,,0,,,0,1,,,,1,2,,4,155,,,,0,124,,0,4,0,,"2,597"
Colombia,0,0,0,,,0,0,2,0,0,1,1,0,,,0,0,0,9,0,,1,0,1,0,0,3,,0,0,0,0,0,0,1,,,,,0,11,,0,0,,4,0,0,,0,0,0,0,0,0,1,25,1,1,,,0,0,,0,0,25,0,,0,0,9,0,0,,0,,2,0,0,0,0,1,0,1,0,1,0,0,0,0,,1,7,0,3,1,0,0,,,1,,0,0,0,0,11,0,0,,,0,1,0,0,0,0,0,0,0,0,0,,0,4,0,0,,0,,0,0,0,,,1,2,0,1,,1,,0,0,0,,10,0,0,8,0,0,0,,,0,0,0,0,,0,0,0,,,0,,0,0,0,0,,0,,56,0,0,0,,,,0,0,2,3,0,0,0,0,0,0,,0,0,0,,,,0,0,,0,40,0,,0,8,0,,0,0,,,265
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,17
"Congo, Dem. Rep.",,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,63
"Congo, Rep.",,,,,,0,,,,,,,,,,,,,,,5,,,,,,,,,,,,,4,,,,,,,4,,,6,,,,,,,,,,,,,,,,,,,,,,,95,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,11,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,185
Costa Rica,0,0,0,,,0,0,1,0,0,1,2,0,,,0,0,0,9,0,0,1,0,1,0,0,1,,0,,0,0,0,0,2,,,,,0,53,37,0,0,,,0,0,,0,0,0,1,,0,7,3,0,21,,,0,0,,0,0,18,,,,0,10,0,0,,0,,14,0,,0,0,14,0,0,0,2,0,0,0,0,,1,7,0,2,0,0,0,,,2,,0,0,0,0,1,,0,,,0,0,,0,,0,0,0,0,,,,0,7,0,0,,0,,0,0,0,0,0,2,,0,421,0,1,,1,0,0,,29,,0,7,1,0,0,,0,0,0,0,,,,0,0,0,0,0,,,0,0,,,0,,27,0,0,0,,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,42,0,,0,1,0,,0,0,0,,761
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,105,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,6,,,,,,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,347,,,,,,,,,,,,,,,,,,,,28,630,,,,,,,,,,,,,,,,,,,,,,42,,,0,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,"1,312"
Croatia,,,,,,,,0,,,5,11,,,,,,,6,,,,,,556,,0,,,,,,,,1,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,17,,,,,31,,,,,,,,,,,,,19,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,60,,,,,,1,,0,,,,,,,,,,,,0,,2,,,,,,,,,,,,308,,,,,,194,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,0,4,,,,,,,,,,,"1,244"
Cuba,,0,0,,,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,,0,0,,0,,0,,,,0,0,0,,,,,0,2,0,,0,,0,,0,,0,,1,0,,0,0,0,0,0,,,,0,,,0,2,,,,0,1,0,0,,0,,0,0,0,0,1,0,0,1,,0,0,0,0,,,0,1,1,0,0,0,0,,,0,,,0,0,0,1,,,,,0,,,,0,,,,,,,,,1,,,,0,,0,,,0,,0,,,0,,0,,0,0,,,0,0,0,0,0,0,0,,,0,1,,0,,,0,,,,,,,0,,0,,,,44,0,,,,0,0,,,0,0,0,,0,,,,,0,,0,,,,0,1,,0,1,0,,,0,,,0,0,,,63
Curacao,,,,,,,0,0,,1,,,,,,,0,,2,,,,,,,,,,,,,,,,0,,,,,,3,8,,,,,,,,,,,,,0,18,,,,,,,,,,,0,,,,,0,,,,0,,,,,0,3,,0,,,3,0,,,,,,0,2,0,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,15,,0,,,,,0,,,,,,,0,,,2,,,,,,,,,,,,,,,1,,,,,,,0,,0,0,,0,,0,,,,,,,,,,,0,,,,,,,,,0,1,,,,0,,,,,,,63
Cyprus,0,0,0,,,,,0,4,,16,2,0,,,2,,0,7,,0,,,0,0,0,0,,9,,0,,,0,2,,,,,0,12,0,,0,,0,,0,,,,4,1,0,,0,0,32,0,,,0,0,,0,2,13,,,,53,12,0,22,,,,,,,,0,0,,3,0,15,0,1,0,1,,1,1,0,0,2,0,0,,,0,,0,0,0,0,34,,,,,0,0,,0,0,0,0,,,0,,,0,0,,3,,,,0,0,0,0,0,1,,0,0,0,7,,1,0,2,,0,,0,0,36,2,0,,0,6,10,,,,,0,0,8,0,0,,,1,0,,,7,,2,42,,,,,0,0,,12,2,2,0,0,2,,,,0,0,0,,,,0,5,,15,8,0,,,0,0,,0,0,0,,432
Czech Republic,0,1,1,,,0,0,0,13,,5,27,2,,,0,0,7,22,0,0,1,0,0,5,0,1,,11,0,0,0,0,0,2,,,,,0,30,1,0,0,,0,0,9,,,0,,3,0,0,0,0,6,0,,,0,0,,0,2,61,,,0,5,63,0,1,,0,,0,0,0,0,0,0,0,36,0,11,1,1,0,1,,4,14,0,12,2,0,0,0,,7,,0,4,0,1,7,0,0,,,4,1,,2,0,0,1,0,0,0,0,,0,1,,22,,20,0,1,0,0,0,1,8,,0,0,0,23,,1,,3,,0,0,0,1,3,48,1,,1,12,23,0,0,,0,0,0,12,0,0,,,"1,012",2,0,,1,,12,1,0,0,,0,0,0,0,13,5,0,2,0,8,0,0,0,0,4,1,,,0,0,188,,3,15,0,,0,0,209,,0,1,0,,"2,050"
Denmark,2,0,1,,,0,0,1,2,0,14,10,0,,,2,0,1,43,0,0,,0,1,23,0,5,,7,0,0,0,0,1,3,,,,,0,75,6,0,0,,1,0,1,,,0,6,,0,0,1,1,9,0,,,4,2,144,0,13,88,,,2,1,134,0,2,,0,,1,0,0,0,0,1,0,31,48,48,2,12,3,2,,4,16,0,7,6,0,6,0,,22,,0,0,0,10,139,0,1,,,36,15,,2,0,0,1,0,0,1,,,0,2,,1,,0,0,13,0,0,0,6,11,,1,0,0,29,,74,0,36,,0,0,0,2,49,60,3,,2,14,4,1,0,,,0,1,10,0,0,,,5,1,0,,2,,52,31,,0,,0,0,0,0,246,11,2,0,0,69,,0,0,0,3,12,,,,7,10,,6,26,0,,0,0,47,,,0,0,,"1,874"
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,5
Dominica,,,,,,,0,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,0,,,,1,,,,,0,0,,,,,,,,0,0,0,,,,0,,,,,,,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,,,0,,,,,,,0,,,,,,,,,0,1,,,,0,,,,,,,5
Dominican Republic,0,0,0,,,0,0,2,0,0,0,7,,,,0,0,0,14,0,0,1,0,1,0,,2,,1,,0,0,0,0,4,,,,,0,27,10,,0,,9,0,,,0,0,0,0,,0,,2,0,1,,,,,,,0,44,,,,0,27,,0,,0,,3,0,,0,428,2,,1,0,2,0,0,0,0,,1,25,1,6,0,0,0,,,2,,0,,0,0,10,,0,,,0,1,,0,0,,0,,0,0,,,0,4,,0,,0,0,0,0,0,,,1,1,0,1,0,1,,0,,0,,5,,0,4,1,1,0,,,0,0,,,,0,0,0,1,,0,,0,0,0,,,0,,89,,0,0,,0,0,0,,6,12,0,,0,,,0,0,0,0,0,,,0,,0,,0,39,1,,,3,0,,0,0,0,,808
Ecuador,0,0,0,,,0,,4,0,,3,4,0,,,0,0,0,26,0,0,1,,3,0,0,5,,0,0,,,0,0,3,,,,,0,23,268,,0,,6,0,0,,0,0,2,1,,0,1,,1,2,,,0,0,0,,1,41,,,0,,24,0,0,,0,,3,0,0,0,0,2,0,2,0,1,0,0,0,0,,2,14,0,4,0,0,0,,,3,,0,,0,0,6,,0,,,0,1,0,0,0,,0,0,0,0,,,,5,0,0,,0,,0,,0,0,0,2,0,0,1,0,1,,1,0,0,,7,0,0,31,1,1,1,,,0,1,0,,,,0,,,,0,,,0,0,,,0,,95,0,0,0,,,0,0,0,6,12,0,,,0,,0,,0,0,0,,,,0,1,,1,85,0,,,2,0,,0,0,0,,719
"Egypt, Arab Rep.",0,0,1,,,0,0,0,0,,1,2,0,,,1,,0,6,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,,,,,0,7,0,3,0,,0,0,0,,,0,0,2,1,,,0,,1,,,0,0,,0,1,26,,,0,0,11,0,1,,,,0,0,0,,,0,0,1,0,8,9,0,3,0,,0,7,,1,33,0,0,,,1,,0,0,0,0,45,0,0,,,0,0,,0,0,0,3,0,0,0,,,0,0,,0,,0,,4,0,0,0,0,1,,0,0,0,19,,1,1,2,,0,0,0,0,7,1,0,,15,0,2,0,0,,0,14,1,0,0,0,,,0,0,,,0,,3,0,0,,,,1,,0,3,2,45,1,0,6,,0,,,4,0,,,,0,0,,1,9,0,,,0,0,,49,15,0,,387
El Salvador,,,0,,,0,,0,0,,0,0,,,,0,0,,1,0,,,,0,,,0,,0,,,0,,,0,,,,,0,1,1,,,,3,,,,,,0,0,,0,0,0,0,,,,,,,,,3,,,,,1,0,0,,,,35,,,,0,38,0,0,0,0,0,0,0,0,,0,1,0,0,0,,,,,0,,0,,,0,0,,,,,,,,,,,0,,,,,,,3,,,,,,0,0,0,,,0,,0,10,,,,0,,0,,2,,0,0,0,0,0,,,0,0,,,,,0,,,,,,,,,,,0,,5,0,,,,,,,,0,0,,,,0,,,,,,0,,,,0,0,,0,12,0,,,0,0,,0,,,,119
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
Eritrea,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,,0,0,,,,,,,,,,,,,,,,,,,0,,,,5,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,,,,2,,,0,,,,,,,,,,0,,10
Estonia,0,0,0,,,0,0,0,2,,0,0,2,,,0,0,9,2,0,,,,0,0,,0,,0,,,,0,0,0,,,,,0,1,0,,0,,0,0,0,,0,0,0,1,,,0,0,0,0,,,,0,0,,8,2,,,,4,5,0,0,,,,0,,,0,,0,0,1,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,,0,,0,2,,9,0,,,,,7,0,,0,0,,0,,,,,,0,0,,2,,0,,0,0,,0,0,0,,0,0,,0,,1,,0,,,0,,0,0,1,0,,0,0,91,0,,,,0,0,0,,,,,0,0,,,0,,1,0,0,,,,0,0,,5,0,0,2,0,0,,,0,0,0,0,,,,0,29,,0,1,0,,,0,0,,0,0,0,,192
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,11
Faeroe Islands,0,,0,,,,,0,,,0,0,,,,,,,0,,,,,0,,,0,,0,,,0,,0,0,,,,,0,0,0,,,,,0,0,,,,0,,,,,,,,,,0,0,,,0,0,,,,,0,0,0,,,,,,,,,,,0,4,0,0,0,,0,,0,0,,0,0,,0,,,0,,,,,,,,0,,,0,0,,0,0,,0,,,0,,,0,0,,,,,,0,,,,,0,,0,,,0,,1,,,,,,0,0,1,1,0,,,0,0,,,,,,,0,,,,,0,,,,0,,0,0,,,,0,0,,,1,0,0,,0,1,,0,,0,0,0,,,,,0,,0,0,,,,0,,,,,,,14
Fiji,,,,,,,,,,,10,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,27
Finland,1,0,1,,,0,0,0,0,0,5,3,0,,,4,0,0,12,0,0,0,0,0,1,0,2,,2,0,0,0,0,1,1,,,,,0,57,2,0,0,,0,0,0,,,0,3,5,0,0,0,0,5,0,,,86,2,,0,,29,,,2,0,26,0,1,,0,,0,0,0,0,0,0,,16,1,24,1,4,1,1,,2,6,0,5,1,0,4,,,1,,0,0,0,3,6,,0,,,3,3,,0,0,0,0,0,0,0,,,0,1,,0,,0,0,5,0,0,0,4,2,,0,0,0,38,,7,0,5,,0,0,0,1,11,7,1,,0,2,47,0,0,,,0,1,0,0,0,,,1,0,0,,1,,18,3,0,0,,0,,0,0,404,5,0,0,0,48,,0,0,0,2,2,,,0,1,2,,2,11,0,,0,0,25,,0,0,0,,"1,000"
France,1,6,"1,654",,,0,0,7,52,0,31,71,6,,,10,0,3,"3,248",0,17,9,0,5,18,0,77,,21,1,1,25,21,62,22,,,,,0,584,46,97,4,,3,54,18,,,1,45,35,19,3,16,9,166,3,,,2,7,0,0,13,,,,5,22,903,1,10,,,,16,14,2,3,117,3,0,83,2,234,10,19,1,10,,22,991,2,74,6,0,6,0,,51,37,0,2,2,6,508,0,2,,,10,387,0,3,377,0,2,0,141,3,,,72,21,0,15,,5,2,"2,138",1,0,0,4,68,,1,1,8,111,,15,0,53,,3,0,1,21,63,208,"1,375",,3,58,33,8,0,,0,2,463,213,1,1,,0,15,11,0,,6,,"2,815",150,0,3,,0,0,1,0,114,400,7,2,0,98,0,36,0,0,"1,359",94,,,0,2,22,,0,118,1,,2,1,563,,1,1,0,,"21,370"
French Polynesia,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,0,,301,,,,,2,,,,,,,,,,,,,,,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,,1,,,,,,,,551
Gabon,,,0,,,0,,,,,,,,,,,,,10,,30,,,,,,,,,1,0,,,30,0,,,,,,2,,,0,,,2,,,,,,,,,,,,,,,,,,,,191,,,,,0,1,,,,,,2,,,,,,,,,,,,,,0,,,0,,,,,,0,,,,,,23,,,,,,,,,,,,,76,,,,,,,,,,,1,,,,,,,,,,393,,,,,,,,,,,,,,,,,0,,,5,,87,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,23,,,1,,,,,,,,,1,,,,,,,,,,,879
"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203
Georgia,,,,,,,,,5,,,,6,,,,,7,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,4,,2,,,,,,10,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,0,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,,,,,0,,,,,29,,,,,,,,,,,,,,162
