"Bilateral Remittance Estimates for 2014 using Migrant Stocks, Host Country Incomes, and Origin Country Incomes (millions of US$) (April 2015 Version)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remittance-receiving country (across) - Remittance-sending country (down),Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,World
Australia,5,3,2,,,0,0,8,4,0,,122,1,,,69,0,1,154,0,0,55,0,2,50,1,25,,5,0,1,0,12,0,41,,,,,0,"2,936",23,0,0,,2,0,129,,0,14,73,61,0,0,1,5,246,31,,,8,9,0,71,36,416,70,,1,1,522,1,113,,0,,2,0,0,0,0,1,46,192,4,"1,842",164,30,6,80,,29,611,2,205,27,0,59,2,,266,,0,1,1,15,"1,057",0,9,,,14,7,1,32,1,0,130,1,0,318,0,,47,7,0,2,,3,2,4,1,2,0,91,151,127,365,2,0,103,,18,2,93,,1,13,0,20,868,121,43,,18,19,17,1,27,,0,13,1,131,5,2,,0,22,34,14,,221,,151,384,0,0,,0,4,0,0,129,67,4,1,2,323,18,1,22,1,2,16,,,0,14,23,,458,195,4,,4,1,"1,029",,2,2,2,,"15,957"
Austria,1,3,1,,,0,0,1,9,,11,,2,,,6,0,1,54,0,0,2,0,1,192,0,7,,22,0,0,0,0,1,2,,,,,0,114,3,,0,,1,0,69,,,0,204,7,0,0,10,1,81,0,,,1,1,,0,5,111,,,2,10,781,1,3,,0,,2,0,0,0,0,0,0,365,1,67,2,13,1,1,,6,69,0,11,3,0,4,,,,77,0,2,0,2,20,0,1,,,4,22,0,13,0,0,0,0,0,1,,,0,3,0,5,,7,36,4,0,0,0,2,13,,0,0,0,177,,4,0,13,,0,0,0,3,62,123,4,,1,76,20,0,0,,0,0,1,386,0,0,,,111,81,0,,4,,36,4,0,0,,0,0,0,0,39,65,1,2,0,31,,0,0,0,13,58,,,0,1,12,,4,23,0,,0,0,15,,0,0,0,,"3,857"
Azerbaijan,,,,,,,,,10,,,,,,,,,12,,,,,,,,,,,0,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,14,11,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,9,,3,,,,,,16,,,,,,,,,,,,,,,9,,0,,,,,,,,,,,,,,,,,,,,,,,9,,,,1,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,1,,,,,53,,,,,,,,1,,,,,,288
"Bahamas, The",,,,,,,0,0,,0,0,0,,,,,0,,1,0,,3,,,,0,0,,0,,,,,,1,,,,,0,1,0,,,,0,,,,,,0,0,,0,1,0,0,0,,,0,,,,0,2,,,,,1,0,0,,0,,0,,,1,48,0,0,0,0,2,0,0,,0,,0,0,10,0,,,0,,,0,,,,,,0,,,,,,,,0,,,0,,,0,,,,0,,,,,,0,,,,,0,,0,0,,2,,0,,0,,0,,,0,4,0,0,,,0,0,,,,,0,0,,,0,,,,,,,0,,1,0,0,0,,0,,,0,0,1,,,,0,,,,0,,0,,,,0,0,,1,10,0,,,0,0,,,,0,,92
Bahrain,0,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,,,,,1,,,,11,,,,,,,,,,,,,,,,,,,,"1,272",60,,,,,,,,,59,,,,,,,0,,,,25,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,0,,,,,12,,,,234,,,,,,194,,,,2,,,,,,,1,,,,,,,,,,,,,,37,,,,,5,,,,,2,,,5,,,,,2,1,,,,,,,1,3,,,,,,,3,44,,,"2,552"
Bangladesh,,,,,,,7,,,,,,,,,,,,,,,,,,,,18,,,,,,3,,,,,,,,958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,255,,,,,,,,49,,,,,,,,,,3,,,,,,,,,,,,,191,,,,,,,,,,,,,,,9,,51,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,12,98,,,,,80,,,,,,"1,951"
Barbados,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,2,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,1,,,,,,,,,1,3,,,,,,,,,,,17
Belarus,0,,,,,,,,15,,,,19,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,7,,,,7,,,,,23,,,0,,,,,,,,,,,2,,,,,,,,1,,,,,4,,,,,,,15,,22,,,,,,65,,,,,,,,,,,,,,,16,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,441,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,34,,,,,,,,,,,,,290,,0,,,,,,1,,,,,,969
Belgium,1,5,29,,,0,,,18,,7,30,2,,,4,,2,,,1,,,,5,,15,,31,,1,,,13,5,,,,,0,118,5,,5,,,2,4,,,0,22,32,,,4,,12,,,,3,1,,,22,"2,257",,,,8,315,1,26,,,,,2,,,1,,,46,,72,5,6,0,8,,8,314,,35,0,0,,,,3,28,,7,,3,36,,,,,9,275,,4,,,,,,3,,,2,3,,,,,6,472,,,,5,202,,,,2,101,,11,,22,,,,,4,29,130,68,,,54,33,5,,,,,10,67,,1,,,24,7,,,2,,386,,,,,,,,,104,19,1,,,35,,5,,,29,35,,,,,7,,19,52,,,,,10,,,,,,"5,835"
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,0,,,,,,86,,,,0,15,0,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,,,,,,,,149
