NAME OF SITE,DESCRIPTION,DETAILED DESCRIPTION,LOCATION,LATLONG,LAT,LONG,COMMENTS,"LINKS (NEWS, VIDEO, EXPERT)",EXPERT LINK
Mosul Central Public Library,LIBRARY,http://www.asor-syrianheritage.org/wp-content/uploads/2015/03/ASOR_CHI_Weekly_Report_30r.pdf,"36.337331, 43.141223","36.337331, 43.141223",36.337331,43.141223,HIGH-PROFILE,http://bigstory.ap.org/article/1ec4e2a1bb5b4dce97faa462478f7c0e/iraqi-libraries-ransacked- islamic-state-group-mosul,http://www.unesco.org/new/en/iraq-office/about-this-office/single- view/news/unesco_alarmed_by_news_of_mass_destruction_of_books_in_mosul
Al Tabqa Cemetery,CEMETARY,http://www.asor-syrianheritage.org/wp-content/uploads/2015/03/ASOR_CHI_Weekly_Report_24r.pdf,"Al Tabqa, Raqqa, Syria",,,,,https://www.facebook.com/hbmalshaar3?fref=photo,
"Sufi Maqam, al-Huquf",SHRINE,http://www.asor-syrianheritage.org/wp-content/uploads/2015/03/ASOR_CHI_Weekly_Report_24r.pdf,"al-Huquf, Suweida, Syria",,,,,http://apsa2011.com/index.php/en/provinces/as-suwayda/monuments.html,
Safirah Sufi Shrine (Name Unknown),SHRINE,http://www.asor-syrianheritage.org/wp-content/uploads/2015/03/ASOR_CHI_Weekly_Report_20r.pdf,"Safirah, Aleppo, Syria",,,,,,
Tomb of Abed al-Qader Bek al-Azm ibn Ahmed Mouayd Pasha,TOMB,,"Rif Dimashq, Syria",,,,,http://apsa2011.com/index.php/fr/provinces/rif- dimashq/monuments/1096-rif-dimachq-tomb-abed-2.html,
Sa’id Hamad Mahmoud al-Naimi in Salahuddin,SHRINE,http://www.asor-syrianheritage.org/wp-content/uploads/2015/03/ASOR_CHI_Weekly_Report_25r.pdf,Central and Northeastern Iraq,,,,,https://www.youtube.com/watch?v=0xKJZ1dJrg8,
Sa’id Saleh Ibrahim Al-Naimi,SHRINE,http://www.asor-syrianheritage.org/wp-content/uploads/2015/03/ASOR_CHI_Weekly_Report_25r.pdf,Central and Northeastern Iraq,,,,,https://www.youtube.com/watch?v=0xKJZ1dJrg8,
Saida Novh,SHRINE,http://www.asor-syrianheritage.org/wp-content/uploads/2015/03/ASOR_CHI_Weekly_Report_25r.pdf,Central and Northeastern Iraq,,,,,https://www.youtube.com/watch?v=0xKJZ1dJrg8,
Sa’id Saleh Al-Naimi,SHRINE,http://www.asor-syrianheritage.org/wp-content/uploads/2015/03/ASOR_CHI_Weekly_Report_25r.pdf,Central and Northeastern Iraq,,,,,https://www.youtube.com/watch?v=0xKJZ1dJrg8,
Sheikh Yahya,SHRINE,http://www.asor-syrianheritage.org/wp-content/uploads/2015/03/ASOR_CHI_Weekly_Report_25r.pdf,Central and Northeastern Iraq,,,,,https://www.youtube.com/watch?v=0xKJZ1dJrg8,
Khorsabad ,ANCIENT CITY,http://www.britishmuseum.org/explore/highlights/articles/k/khorsabad_iraq.aspx,"36.510153, 43.223476","36.510153, 43.223476",36.510153,43.223476,HIGH-PROFILE,http://www.reuters.com/article/2015/03/12/us-mideast-crisis-iraq-destruction-idUSKBN0M726Q20150312,
Virgin Mary Church,CHURCH,,"36.404836, 43.118895","36.404836, 43.118895",36.404836,43.118895,,http://rudaw.net/english/middleeast/iraq/261220142,
Green Church (Church of St. Ahoadamah),CHURCH,,"Tikrit, Iraq",,,,HIGH-PROFILE,"http://www.nytimes.com/2014/09/25/world/middleeast/iraq-militants-destroy-historic-church.html?_r=1, http://rt.com/news/190728-isis-destroys-church-mosque-iraq/",
St. Markourkas,CHURCH,,"Mosul, Iraq",,,,,http://www.iraqinews.com/iraq-war/isis-blows-markourkas-church-mosul/,
Virgin Mary Church,CHURCH,,"36.639519, 40.367941","36.639519, 40.367941",36.639519,40.367941,,http://aranews.net/2015/04/isis-militants-bomb-assyrian-church-on-easter-holiday-in-syria/,
Al-Qubba Husseiniya Mosque,MOSQUE,,"Mosul, Iraq",,,,,http://www.huffingtonpost.co.uk/2014/07/07/isis-blow-up-heretical-shia-mosques-in-mosul-pictures_n_5563860.html,
Jawad Husseiniya Mosque,MOSQUE,,"Tel Afar, Iraq",,,,,http://www.huffingtonpost.co.uk/2014/07/07/isis-blow-up-heretical-shia-mosques-in-mosul-pictures_n_5563860.html,
Al-Arbaleen Mosque,MOSQUE,,"Tikrit, Iraq",,,,,http://www.iraqinews.com/features/urgent-isis-destroys-historical-al-arbain-mosque-tikrit/,
Prophet Daniel's Tomb,TOMB,,"Mosul, Iraq",,,,HIGH-PROFILE,http://english.alarabiya.net/en/News/middle-east/2014/07/25/ISIS-destroys-tombs-of-two-prophets-in-Mosul.html,
