States/Cities,North Carolina,MIssissippi
New York,YES,YES
Washington,YES,YES
Seattle,YES,YES
D.C.,YES,NO
Vermont,YES,YES
Atlanta,YES,NO
Boston,YES,NO
San Francisco,YES,NO
Minnesota,YES,NO
